event_id,STAID,BEGIN_DATE_TIME,END_DATE_TIME,peak_time,peak_flow_cfs,volume_acreft,flashiness_index,YEAR,month,day,water_year,duration_hours,time_to_peak_h,gage_lat,gage_lon,index_right,gage_flowpath-id,gage_snap_dist_m,gage_cat-id
79,02085000,2021-01-28 05:00:00+00:00,2021-01-30 06:15:00+00:00,2021-01-28 14:00:00+00:00,319.0,754.845041322314,0.0113794514940646,2021,1,28,2021,49.25,9.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
80,02085000,2021-01-31 14:15:00+00:00,2021-02-02 15:45:00+00:00,2021-01-31 22:15:00+00:00,1170.0,1760.185950413223,0.0244928572265647,2021,1,31,2021,49.5,8.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
81,02085000,2021-02-03 23:30:00+00:00,2021-02-04 02:45:00+00:00,2021-02-04 01:00:00+00:00,117.0,30.661157024793383,0.0112781954887218,2021,2,3,2021,3.25,1.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
82,02085000,2021-02-04 18:30:00+00:00,2021-02-06 09:00:00+00:00,2021-02-06 00:15:00+00:00,105.0,320.2995867768595,0.0039873328461351,2021,2,4,2021,38.5,29.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
83,02085000,2021-02-07 07:15:00+00:00,2021-02-09 08:45:00+00:00,2021-02-07 19:45:00+00:00,397.0,917.086776859504,0.0137918641478919,2021,2,7,2021,49.5,12.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
84,02085000,2021-02-10 22:15:00+00:00,2021-02-11 17:45:00+00:00,2021-02-11 02:45:00+00:00,118.0,185.80578512396693,0.004834102395078,2021,2,10,2021,19.5,4.5,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
85,02085000,2021-02-12 03:45:00+00:00,2021-02-13 11:30:00+00:00,2021-02-12 18:45:00+00:00,531.0,1207.6756198347107,0.0083884909223936,2021,2,12,2021,31.75,15.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
86,02085000,2021-02-13 14:30:00+00:00,2021-02-15 20:00:00+00:00,2021-02-13 22:30:00+00:00,986.0,2812.582644628099,0.0134778786990917,2021,2,13,2021,53.5,8.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
87,02085000,2021-02-16 02:15:00+00:00,2021-02-17 08:45:00+00:00,2021-02-16 10:00:00+00:00,1370.0,1761.0640495867767,0.0243443504277499,2021,2,16,2021,30.5,7.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
88,02085000,2021-02-18 15:45:00+00:00,2021-02-20 17:15:00+00:00,2021-02-18 23:45:00+00:00,839.0,2090.681818181818,0.013506452535171,2021,2,18,2021,49.5,8.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
89,02085000,2021-02-22 16:30:00+00:00,2021-02-24 18:00:00+00:00,2021-02-23 02:15:00+00:00,364.0,873.4504132231405,0.0112674728331329,2021,2,22,2021,49.5,9.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
90,02085000,2021-02-27 02:15:00+00:00,2021-03-01 03:45:00+00:00,2021-02-27 10:30:00+00:00,577.0,1151.797520661157,0.0161711566670244,2021,2,27,2021,49.5,8.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
91,02085000,2021-03-01 11:30:00+00:00,2021-03-02 11:30:00+00:00,2021-03-02 00:15:00+00:00,179.0,324.79338842975204,0.0049152435566198,2021,3,1,2021,24.0,12.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
92,02085000,2021-03-05 23:00:00+00:00,2021-03-06 04:15:00+00:00,2021-03-06 01:00:00+00:00,103.0,43.914256198347104,0.0052593724714555,2021,3,5,2021,5.25,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
93,02085000,2021-03-06 18:30:00+00:00,2021-03-07 00:00:00+00:00,2021-03-06 20:30:00+00:00,98.5,44.37603305785124,0.0042782655198538,2021,3,6,2021,5.5,2.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
94,02085000,2021-03-08 20:45:00+00:00,2021-03-09 01:45:00+00:00,2021-03-08 21:00:00+00:00,89.0,36.603305785123965,0.0038722168441432,2021,3,8,2021,5.0,0.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
95,02085000,2021-03-09 22:45:00+00:00,2021-03-10 03:15:00+00:00,2021-03-09 23:45:00+00:00,87.8,32.45454545454545,0.0043441534934234,2021,3,9,2021,4.5,1.0,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
96,02085000,2021-03-10 21:15:00+00:00,2021-03-11 06:15:00+00:00,2021-03-11 01:30:00+00:00,87.8,63.8595041322314,0.0044093099429939,2021,3,10,2021,9.0,4.25,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
97,02085000,2021-03-11 17:45:00+00:00,2021-03-11 21:15:00+00:00,2021-03-11 19:30:00+00:00,84.3,24.15702479338843,0.0017566272756307,2021,3,11,2021,3.5,1.75,36.071111,-79.095556,63917,wb-269654,14.77163940949128,cat-269654
